"대여일자","누적횟수","기온C","풍속ms","강수량mm","습도"
2021-05-19,2996,20.0541666666667,0.875,0,52.6583333333333
2021-05-20,1791,19.2666666666667,1.07916666666667,0.0625,56.3
2021-05-21,1910,15.8,0.9,0.520833333333333,92.9458333333333
2021-05-22,2933,19.2708333333333,1.54166666666667,0,67.8541666666667
2021-05-23,2666,20.1625,1.05,0,59.7375
2021-05-24,3163,20.3291666666667,1.76666666666667,0,50.8291666666667
2021-05-25,1996,16.0041666666667,1.85833333333333,0.291666666666667,67.6083333333333
2021-05-26,3023,18.2541666666667,1.68333333333333,0,56.6375
2021-05-27,1696,16.5166666666667,1.76666666666667,0.291666666666667,77.6541666666667
2021-05-28,1720,15.5708333333333,1.575,1.20833333333333,84.6416666666667
2021-05-29,1513,16.6208333333333,1.25416666666667,0,71.5
2021-05-30,2146,18.7041666666667,1.0875,0.4375,71.825
2021-05-31,3078,20.0875,0.854166666666667,0.5625,79.1666666666667
2021-06-01,2712,21.425,1.1375,0,69.9125
2021-06-02,3038,23.9291666666667,1.07083333333333,0,61.8666666666667
2021-06-03,955,19.9166666666667,0.8875,0.916666666666667,82.5875
2021-06-04,3270,19.0166666666667,1.60833333333333,0.0416666666666667,66.8666666666667
2021-06-05,2823,21.2041666666667,1.79166666666667,0,59.5416666666667
2021-06-06,2638,23.0875,1.23333333333333,0,68.4375
2021-06-07,2986,21.3083333333333,0.720833333333333,0,70.6125
2021-06-08,2944,24.3291666666667,0.7875,0,63.8083333333333
2021-06-09,2780,26.0583333333333,0.679166666666667,0,56.375
2021-06-10,2064,25.4708333333333,1.075,0.0416666666666667,66.5458333333333
2021-06-11,2782,22.4291666666667,1.7875,0.541666666666667,81.5458333333333
2021-06-14,2953,25.35,1.3,0,66.7625
2021-06-15,2110,23.0333333333333,0.820833333333333,0.145833333333333,81.675
2021-06-16,3059,25.1791666666667,1.50833333333333,0,55.5666666666667
2021-06-18,1525,20.8875,1.4125,0.125,90.2375
2021-06-19,2618,23.3083333333333,1.175,0,68.45
2021-06-20,2466,23.5958333333333,1.70833333333333,0,69.025
2021-06-21,3159,24.8208333333333,1.47916666666667,0,61.0375
2021-06-22,2772,23.5833333333333,1.00416666666667,0.0416666666666667,64.0958333333333
2021-06-23,2569,22.2208333333333,0.975,0.6875,73.2166666666667
2021-06-24,2902,23.1666666666667,1.22083333333333,0,71.9708333333333
2021-06-25,3277,24.5458333333333,1.10833333333333,0,65.8541666666667
2021-06-26,2173,23.1708333333333,0.954166666666667,0.1875,78.6916666666667
2021-06-27,2033,24.6583333333333,0.8875,0.291666666666667,73.5
